,Index
2019-01-02,GAS-DHG-FPT
2019-01-03,GAS-FPT-VCB
2019-01-04,GAS-VCB-FPT
2019-01-07,GAS-VCB-FPT
2019-01-08,GAS-FPT-VNM
2019-01-09,GAS-FPT-HSG
2019-01-10,GAS-GMD-FPT
2019-01-11,GAS-GMD-VNM
2019-01-14,GAS-GMD-FPT
2019-01-15,GAS-GMD-FPT
2019-01-16,GAS-GMD-HSG
2019-01-17,GAS-GMD-HSG
2019-01-18,GAS-GMD-FPT
2019-01-21,GAS-GMD-FPT
2019-01-22,GAS-GMD-FPT
2019-01-23,GAS-GMD-MWG
2019-01-24,GAS-MWG-GMD
2019-01-25,GAS-FPT-MWG
2019-01-28,FPT-GAS-BMP
2019-01-29,FPT-GAS-BMP
2019-01-30,FPT-CTG-BMP
2019-01-31,CTG-FPT-BMP
2019-02-01,CTG-FPT-BMP
2019-02-11,CTG-FPT-BMP
2019-02-12,FPT-SSI-CTG
2019-02-13,CTG-FPT-SSI
2019-02-14,CTG-SSI-FPT
2019-02-15,SSI-CTG-FPT
2019-02-18,CTG-SSI-FPT
2019-02-19,SSI-CTG-FPT
2019-02-20,CTG-SSI-NT2
2019-02-21,CTG-SSI-NT2
2019-02-22,SSI-CTG-NT2
2019-02-25,SSI-CTG-NT2
2019-02-26,SSI-CTG-FPT
2019-02-27,SSI-CTG-GAS
2019-02-28,SSI-CTG-GAS
2019-03-01,SSI-CTG-MBB
2019-03-04,SSI-CTG-MSN
2019-03-05,SSI-CTG-MSN
2019-03-06,CTG-SSI-MSN
2019-03-07,MSN-CTG-SSI
2019-03-08,MSN-CTG-SSI
2019-03-11,MSN-CTG-SSI
2019-03-12,MSN-CTG-MBB
2019-03-13,MSN-CTG-SSI
2019-03-14,MSN-CTG-MBB
2019-03-15,MSN-CTG-SSI
2019-03-18,MSN-CTG-SSI
2019-03-19,MSN-SSI-CTG
2019-03-20,MSN-SSI-MBB
2019-03-21,MSN-VCB-MBB
2019-03-22,MSN-VCB-BMP
2019-03-25,MSN-BMP-VCB
2019-03-26,MSN-BMP-VCB
2019-03-27,MSN-VCB-BMP
2019-03-28,MSN-VCB-MBB
2019-03-29,MSN-MBB-VCB
2019-04-01,MSN-MBB-VCB
2019-04-02,MSN-MBB-VCB
2019-04-03,MBB-MSN-VNM
2019-04-04,MBB-MSN-VCB
2019-04-05,MBB-VCB-MSN
2019-04-08,MBB-VCB-MSN
2019-04-09,MBB-HSG-STB
2019-04-10,MBB-HSG-STB
2019-04-11,HSG-STB-VCB
2019-04-12,STB-MBB-VCB
2019-04-16,MBB-STB-HSG
2019-04-17,STB-MBB-HSG
2019-04-18,MBB-STB-HSG
2019-04-19,STB-HSG-MBB
2019-04-22,STB-HSG-MWG
2019-04-23,STB-MBB-HPG
2019-04-24,STB-MBB-HPG
2019-04-25,STB-HPG-MWG
