,Long
2015-01-05,0.06160911366098176
2015-01-06,0.04274214061015624
2015-01-07,0.030826554627829832
2015-01-08,0.043253802153723285
2015-01-09,0.014299566877625569
2015-01-12,-0.00602941814125509
2015-01-13,-0.01914266812443847
2015-01-14,0.041760868368926785
2015-01-15,0.03406619236906431
2015-01-16,0.010867718241201918
2015-01-19,-0.0067045513568633934
2015-01-20,-0.02367135212933776
2015-01-21,-0.0010465430952488752
2015-01-22,0.007167644952656575
2015-01-23,0.005411455094839164
2015-01-26,0.021710232526418793
2015-01-27,0.03154790113653072
2015-01-28,-0.00847809081944558
2015-01-29,0.005280871259618254
2015-01-30,0.0050866412541772
2015-02-02,0.036102842830186686
2015-02-03,0.04755150089460547
2015-02-04,0.0658718786709392
2015-02-05,0.07528146463059393
2015-02-06,0.03809860690510014
2015-02-09,0.05916616502001363
2015-02-10,0.04843254538441033
2015-02-11,0.047840686043254387
2015-02-12,0.03103618976431906
2015-02-13,0.02036669575775174
2015-02-24,-0.0049382624212786315
2015-02-25,-0.030685864746617424
2015-02-26,-0.02821050440186601
2015-02-27,-0.008908136555737411
2015-03-02,-0.027134523276413042
2015-03-03,-0.0382311817843887
2015-03-04,-0.048989044201258304
2015-03-05,-0.026988329642237668
2015-03-06,-0.01810084177805671
2015-03-09,-0.026368481593407395
2015-03-10,-0.03367450649269373
2015-03-11,-0.02812960202240226
2015-03-12,-0.033794012169998666
2015-03-13,-0.04108268374041272
2015-03-16,-0.011075898388366682
2015-03-17,-0.021715403674230787
2015-03-18,-0.02736046729124138
2015-03-19,-0.007713452085712613
2015-03-20,-0.01483944650123751
2015-03-23,-0.004392387580251474
2015-03-24,-0.018940021619348307
2015-03-25,-0.024718885718925554
2015-03-26,-0.017332135673165494
2015-03-27,-0.009167932210830601
2015-03-30,0.002247274566673988
2015-03-31,0.003549081564444704
2015-04-01,0.02151629448813197
2015-04-02,0.008695156506839755
2015-04-03,0.01782111842492055
2015-04-06,0.01857183212560117
2015-04-07,0.015056837649152591
2015-04-08,0.018709212475784758
2015-04-09,0.011890966174838535
