,Index
2015-05-28,FPT-CII-MBB
2015-05-29,FPT-VCB-CII
2015-06-01,FPT-BVH-SSI
2015-06-02,FPT-BVH-SSI
2015-06-03,FPT-VCB-SSI
2015-06-04,FPT-VCB-SSI
2015-06-05,FPT-SSI-VCB
2015-06-08,FPT-SSI-VCB
2015-06-09,FPT-VCB-SSI
2015-06-10,VIC-FPT-SSI
2015-06-11,FPT-VIC-BVH
2015-06-12,MSN-VIC-FPT
2015-06-15,VIC-BVH-FPT
2015-06-16,VIC-BVH-FPT
2015-06-17,VIC-BVH-EIB
2015-06-18,VIC-BVH-EIB
2015-06-19,VIC-MSN-EIB
2015-06-22,VIC-EIB-BVH
2015-06-23,EIB-VIC-FPT
2015-06-24,EIB-VIC-FPT
2015-06-25,EIB-VIC-FPT
2015-06-26,EIB-VIC-STB
2015-06-29,EIB-CTG-VIC
2015-06-30,EIB-VIC-FPT
2015-07-01,EIB-CTG-VIC
2015-07-02,EIB-CTG-VIC
2015-07-03,EIB-CTG-STB
2015-07-06,EIB-CTG-STB
2015-07-07,EIB-CTG-VIC
2015-07-08,EIB-CTG-VIC
2015-07-09,EIB-CTG-VIC
2015-07-10,CTG-EIB-STB
2015-07-13,EIB-CTG-STB
2015-07-14,CTG-STB-VIC
2015-07-15,STB-VNM-DRC
2015-07-16,CTG-DRC-STB
2015-07-17,CTG-VNM-DRC
2015-07-20,DRC-VNM-PVD
2015-07-21,VNM-DRC-STB
2015-07-22,VNM-PVD-VIC
2015-07-23,VNM-CTG-STB
2015-07-24,VNM-CTG-VIC
2015-07-27,VNM-PVT-CII
2015-07-28,VNM-PVT-CII
2015-07-29,VNM-KDC-PVT
2015-07-30,VNM-CTG-KDC
2015-07-31,VNM-REE-OGC
2015-08-03,VNM-REE-OGC
2015-08-04,VNM-OGC-CII
2015-08-05,VNM-OGC-CII
2015-08-06,VNM-CII-IJC
2015-08-07,VNM-IJC-FLC
2015-08-10,VNM-IJC-REE
2015-08-11,VNM-IJC-OGC
2015-08-12,VNM-IJC-OGC
2015-08-13,VNM-HPG-IJC
2015-08-14,IJC-HPG-VNM
2015-08-17,HPG-IJC-OGC
2015-08-18,HPG-IJC-OGC
2015-08-19,IJC-OGC-HPG
2015-08-20,IJC-OGC-HPG
2015-08-21,MSN-IJC-HPG
2015-08-24,MSN-IJC-MBB
2015-08-25,MSN-IJC-MBB
2015-08-26,MSN-IJC-OGC
2015-08-27,MSN-IJC-OGC
2015-08-28,MSN-OGC-MBB
2015-08-31,OGC-MSN-MBB
2015-09-01,OGC-MSN-PVD
2015-09-03,OGC-MSN-MBB
2015-09-04,OGC-MBB-MSN
2015-09-07,OGC-MBB-MSN
2015-09-08,OGC-MBB-MSN
2015-09-09,OGC-MBB-MSN
2015-09-10,OGC-MSN-HPG
2015-09-11,OGC-HPG-MSN
2015-09-14,OGC-ITA-MSN
2015-09-15,OGC-ITA-MSN
2015-09-16,OGC-ITA-MSN
2015-09-17,OGC-ITA-MSN
2015-09-18,OGC-ITA-MSN
2015-09-21,OGC-ITA-PVT
2015-09-22,OGC-ITA-PVT
2015-09-23,OGC-PVT-ITA
2015-09-24,OGC-PVT-ITA
2015-09-25,OGC-PVT-ITA
2015-09-28,PVT-ITA-OGC
2015-09-29,PVT-ITA-OGC
2015-09-30,PVT-ITA-OGC
2015-10-01,PVT-OGC-ITA
2015-10-02,PVT-ITA-OGC
2015-10-05,PVT-BVH-ITA
2015-10-06,PVT-BVH-ITA
2015-10-07,PVT-BVH-ITA
2015-10-08,PVT-BVH-ITA
2015-10-09,PVT-BVH-ITA
2015-10-12,PVT-FPT-VNM
2015-10-13,PVT-VNM-FPT
2015-10-14,VNM-PVT-FPT
2015-10-15,VNM-PVT-FPT
2015-10-16,VNM-PVT-FPT
2015-10-19,VNM-FPT-PVT
2015-10-20,VNM-FPT-PVT
2015-10-21,VNM-FPT-PVT
2015-10-22,VNM-FPT-PVT
2015-10-23,VNM-FPT-PVT
2015-10-26,VNM-FPT-PVT
2015-10-27,VNM-FPT-PVT
2015-10-28,VNM-FPT-PVT
2015-10-29,VNM-FPT-PVT
2015-10-30,VNM-FPT-PVT
2015-11-02,VNM-FPT-PVT
2015-11-03,VNM-FPT-HAG
2015-11-04,VNM-FPT-HAG
2015-11-05,VNM-FPT-STB
2015-11-06,VNM-FPT-HAG
2015-11-09,VNM-FPT-HAG
2015-11-10,FPT-VNM-HAG
2015-11-11,FPT-VNM-HAG
2015-11-12,FPT-VNM-STB
2015-11-13,FPT-HAG-STB
2015-11-16,FPT-HAG-STB
2015-11-17,FPT-HAG-STB
2015-11-18,FPT-HAG-STB
2015-11-19,FPT-STB-HAG
2015-11-20,STB-FPT-HAG
2015-11-23,STB-FPT-HAG
2015-11-24,STB-FPT-HAG
2015-11-25,HAG-FPT-STB
2015-11-26,STB-HAG-FPT
2015-11-27,STB-HAG-FPT
2015-11-30,STB-HAG-FPT
2015-12-01,STB-HAG-HSG
2015-12-02,HAG-STB-HSG
2015-12-03,STB-HAG-HSG
2015-12-04,STB-HAG-HSG
2015-12-07,STB-HAG-BVH
2015-12-08,STB-HAG-HSG
2015-12-09,STB-HAG-FPT
2015-12-10,STB-HAG-MSN
2015-12-11,STB-HAG-HSG
2015-12-14,STB-HAG-MSN
2015-12-15,STB-MSN-HSG
2015-12-16,STB-FPT-MSN
2015-12-17,STB-FPT-DPM
