,Index
2020-09-08,MBB-SSI-PNJ
2020-09-09,MBB-SSI-PNJ
2020-09-10,MBB-SSI-PNJ
2020-09-11,MBB-PNJ-SSI
2020-09-14,MBB-PNJ-SSI
2020-09-15,MBB-PNJ-DPM
2020-09-16,MBB-PNJ-DPM
2020-09-17,MBB-PNJ-HPG
2020-09-18,MBB-VNM-PNJ
2020-09-21,MBB-VNM-REE
2020-09-22,MBB-VNM-REE
2020-09-23,MBB-VNM-REE
2020-09-24,MBB-REE-VNM
2020-09-25,MBB-REE-VNM
2020-09-28,MBB-REE-VNM
2020-09-29,MBB-REE-GMD
2020-09-30,MBB-REE-GMD
2020-10-01,MBB-REE-GMD
2020-10-02,MBB-GMD-REE
2020-10-05,GMD-MBB-REE
2020-10-06,GMD-MBB-REE
2020-10-07,GMD-MBB-BID
2020-10-08,GMD-MBB-BID
2020-10-09,GMD-MBB-STB
2020-10-12,GMD-MBB-BID
2020-10-13,GMD-MBB-STB
2020-10-14,STB-GMD-MBB
2020-10-15,STB-GMD-MBB
2020-10-16,STB-GMD-MBB
2020-10-19,STB-GMD-MBB
2020-10-20,GMD-MBB-CTD
2020-10-21,STB-GMD-CTG
2020-10-22,GMD-CTG-CTD
2020-10-23,STB-GMD-CTD
2020-10-26,STB-GMD-CTD
2020-10-27,STB-CTD-GMD
2020-10-28,CTD-GMD-HPG
2020-10-29,CTD-HPG-GMD
2020-10-30,CTD-DPM-GMD
2020-11-02,CTD-HPG-DPM
2020-11-03,HPG-DPM-CTD
2020-11-04,HPG-CTD-DPM
2020-11-05,HPG-DPM-GAS
2020-11-06,DPM-HPG-GAS
2020-11-09,HPG-DPM-GAS
2020-11-10,HPG-DPM-GAS
2020-11-11,HPG-DPM-GAS
2020-11-12,HPG-DPM-GAS
2020-11-13,DPM-GAS-MBB
2020-11-16,DPM-HPG-GAS
2020-11-17,DPM-GAS-HPG
2020-11-18,DPM-GAS-MBB
2020-11-19,REE-DPM-SSI
2020-11-20,GMD-HPG-MBB
2020-11-23,GMD-BID-MBB
2020-11-24,GMD-BID-MBB
2020-11-25,GMD-BID-MBB
2020-11-26,GMD-BID-GAS
2020-11-27,GMD-GAS-REE
2020-11-30,GMD-GAS-MBB
2020-12-01,GMD-GAS-REE
2020-12-02,GMD-REE-HPG
2020-12-03,GMD-REE-SSI
2020-12-04,GMD-SSI-GAS
2020-12-07,GMD-REE-SSI
2020-12-08,GMD-GAS-HPG
2020-12-09,GMD-GAS-REE
2020-12-10,GMD-REE-GAS
2020-12-11,GMD-REE-GAS
2020-12-14,GMD-GAS-REE
2020-12-15,GMD-GAS-REE
2020-12-16,GMD-GAS-VIC
2020-12-17,GMD-GAS-VIC
