,Index
2016-01-04,VIC-PPC-CII
2016-01-05,VIC-KBC-PPC
2016-01-06,VIC-KBC-PPC
2016-01-07,VIC-KBC-PPC
2016-01-08,VIC-PPC-CSM
2016-01-11,VIC-KBC-CSM
2016-01-12,VIC-KBC-CSM
2016-01-13,VIC-CSM-KBC
2016-01-14,VIC-CSM-VSH
2016-01-15,VIC-CSM-KBC
2016-01-18,VIC-CSM-KBC
2016-01-19,VIC-CSM-BVH
2016-01-20,CSM-VIC-BVH
2016-01-21,CSM-VIC-BVH
2016-01-22,BVH-CSM-VIC
2016-01-25,BVH-DPM-CSM
2016-01-26,BVH-CSM-VIC
2016-01-27,BVH-PVD-CSM
2016-01-28,BVH-PVD-GMD
2016-01-29,BVH-PVD-GMD
2016-02-01,BVH-PVD-GMD
2016-02-02,BVH-PVD-GMD
2016-02-03,BVH-PVD-GMD
2016-02-04,BVH-PVD-MSN
2016-02-05,PVD-BVH-MSN
2016-02-15,PVD-BVH-GMD
2016-02-16,CSM-MSN-GMD
2016-02-17,CSM-MSN-BVH
2016-02-18,CSM-MSN-BVH
2016-02-19,CSM-MSN-BVH
2016-02-22,CSM-MSN-BVH
2016-02-23,CSM-MSN-BVH
2016-02-24,CSM-MSN-BVH
2016-02-25,CSM-MSN-BVH
2016-02-26,CSM-BVH-MSN
2016-02-29,BVH-CSM-MSN
2016-03-01,CSM-BVH-MSN
2016-03-02,MSN-CSM-BVH
2016-03-03,BVH-MSN-CSM
2016-03-04,BVH-MSN-PVT
2016-03-07,BVH-MSN-PVT
2016-03-08,PVT-MSN-CSM
2016-03-09,PVT-MSN-HAG
2016-03-10,PVT-MSN-HAG
2016-03-11,PVT-MSN-CII
2016-03-14,PVT-CII-MSN
2016-03-15,PVT-CII-MSN
2016-03-16,HAG-CII-MSN
2016-03-17,HAG-MSN-CII
2016-03-18,HAG-CII-MSN
2016-03-21,CII-HAG-MSN
2016-03-22,CII-MSN-VCB
2016-03-23,CII-KDC-MSN
2016-03-24,KDC-HAG-MSN
2016-03-25,CII-SSI-HAG
2016-03-28,CII-SSI-VCB
2016-03-29,CII-KDC-SSI
2016-03-30,CII-KDC-VCB
2016-03-31,KDC-CII-VCB
2016-04-01,CII-SSI-VCB
2016-04-04,CII-SSI-VCB
2016-04-05,CII-VCB-SSI
2016-04-06,CII-VCB-SSI
2016-04-07,VCB-CII-STB
2016-04-08,VCB-STB-CII
2016-04-11,VCB-STB-CII
2016-04-12,STB-VCB-CII
2016-04-13,STB-VCB-CII
2016-04-14,STB-VCB-HCM
2016-04-15,STB-VCB-CTG
2016-04-19,STB-VCB-CTG
2016-04-20,STB-VCB-CII
2016-04-21,STB-VCB-HSG
2016-04-22,STB-VCB-HSG
2016-04-25,STB-HSG-VCB
2016-04-26,STB-HSG-ITA
2016-04-27,HSG-STB-VNM
2016-04-28,HSG-STB-VNM
2016-04-29,HSG-VNM-STB
2016-05-04,HSG-VNM-STB
2016-05-05,HSG-VNM-STB
2016-05-06,HSG-CII-STB
2016-05-09,VNM-HSG-CII
2016-05-10,VNM-HSG-CII
2016-05-11,VNM-HSG-CII
2016-05-12,VNM-DPM-HSG
2016-05-13,VNM-DPM-HVG
2016-05-16,VNM-DPM-HSG
2016-05-17,VNM-DPM-HVG
2016-05-18,VNM-DPM-HVG
2016-05-19,VNM-HVG-PVT
2016-05-20,VNM-HVG-DPM
2016-05-23,VNM-HVG-PVT
2016-05-24,VNM-HVG-PVT
2016-05-25,HVG-PVT-GMD
2016-05-26,HVG-DPM-PVT
2016-05-27,HVG-DPM-PVT
2016-05-30,HVG-PVT-PPC
2016-05-31,HVG-PVT-PPC
2016-06-01,HVG-PPC-PVT
2016-06-02,PPC-FPT-PVT
2016-06-03,PPC-PVT-FPT
2016-06-06,PPC-FPT-PVT
2016-06-07,PPC-FPT-PVT
2016-06-08,PPC-PVT-FPT
2016-06-09,PVT-PPC-REE
2016-06-10,REE-PVT-PPC
2016-06-13,REE-PVT-PPC
2016-06-14,REE-PVT-PPC
2016-06-15,REE-PVT-VSH
2016-06-16,REE-PVT-KDC
2016-06-17,REE-PVT-KDC
2016-06-20,PVT-REE-KDC
2016-06-21,REE-PVT-KDC
2016-06-22,REE-PVT-KDC
2016-06-23,REE-ITA-KDC
2016-06-24,KDC-ITA-REE
2016-06-27,KDC-REE-FLC
2016-06-28,REE-FLC-KDC
2016-06-29,FLC-KDC-REE
2016-06-30,FLC-KDC-REE
2016-07-01,KDC-FLC-CSM
2016-07-04,KDC-FLC-CSM
2016-07-05,FLC-KDC-REE
2016-07-06,KDC-FLC-REE
2016-07-07,KDC-FLC-REE
2016-07-08,KDC-FLC-REE
2016-07-11,KDC-REE-FLC
2016-07-12,KDC-REE-FLC
2016-07-13,KDC-REE-DPM
2016-07-14,KDC-REE-KBC
