,Long
2019-01-02,0.051324918325613256
2019-01-03,0.03667604223314017
2019-01-04,0.027500831833841295
2019-01-07,0.02913100975269045
2019-01-08,0.0183199087193735
2019-01-09,-2.1922538359087085e-05
2019-01-10,0.0020442573371512265
2019-01-11,0.008311981024612872
2019-01-14,-0.0012151176224053373
2019-01-15,-0.016226108591316384
2019-01-16,-0.01585499431996658
2019-01-17,0.004802494778107643
2019-01-18,0.00036930994742797224
2019-01-21,0.01614693663494064
2019-01-22,0.021517658120585443
2019-01-23,0.034710848070481935
2019-01-24,0.029168128580076818
2019-01-25,0.042529515972845676
2019-01-28,0.046889185236773066
2019-01-29,0.045618511581217915
2019-01-30,0.015177057843284306
2019-01-31,0.02418800079508232
2019-02-01,0.036926349490299604
2019-02-11,0.019853219545903727
2019-02-12,0.034438631409958065
2019-02-13,0.02177692259002506
2019-02-14,0.008662480268243159
2019-02-15,0.019777024533956356
2019-02-18,0.03142744791029021
2019-02-19,0.034907835112547726
2019-02-20,0.01975332183303291
2019-02-21,0.026983010857715
2019-02-22,0.006305008557809873
2019-02-25,-0.01577345403296197
2019-02-26,0.02480517851503065
2019-02-27,0.046125799177185144
2019-02-28,0.0596793827099004
2019-03-01,0.05651764049316362
2019-03-04,0.02799552920553272
2019-03-05,0.02122932655199002
2019-03-06,0.005194498757856454
2019-03-07,-0.026027885535074218
2019-03-08,-0.010364279369737309
2019-03-11,-0.03191960574267757
2019-03-12,-0.022481818855826563
2019-03-13,-0.04179685960116316
2019-03-14,-0.012802078524905705
2019-03-15,-0.038139622617820036
2019-03-18,-0.028896559779684344
2019-03-19,-0.025500245038644936
2019-03-20,-0.009959303949513535
2019-03-21,0.014292710516255839
2019-03-22,0.020969414358048777
2019-03-25,0.0461106137973466
2019-03-26,0.03953211345803568
2019-03-27,0.023969395179793684
2019-03-28,0.02253517237707651
2019-03-29,0.018729173015332057
2019-04-01,-0.007416087530575692
2019-04-02,-0.0033309524972156743
2019-04-03,-0.019793570785970587
2019-04-04,-0.0060884963341845495
2019-04-05,-0.013775357189485637
2019-04-08,-0.027691000888210526
2019-04-09,-0.016677419840482616
2019-04-10,-0.013722339899061761
2019-04-11,-0.005686107889239585
2019-04-12,-0.010902150698743451
2019-04-16,0.017601520043992958
2019-04-17,0.004201680672268893
2019-04-18,0.008382220804023769
2019-04-19,0.006717670491953561
2019-04-22,0.014518646241860944
2019-04-23,0.0022842584255072427
2019-04-24,-0.019634164547630784
2019-04-25,0.0023408568139302957
2019-04-26,-0.0008691383256875426
2019-05-02,-0.013865440277979387
2019-05-03,-0.02701271454433322
2019-05-06,0.008657735234264793
2019-05-07,0.03287764603465693
2019-05-08,0.033999688489444645
2019-05-09,0.03128867281330927
2019-05-10,0.023941882759857386
2019-05-13,0.017242925115066383
2019-05-14,0.02092301384142607
2019-05-15,0.01325223245968051
2019-05-16,0.011147204261598542
2019-05-17,-0.0043211543064298015
2019-05-20,-0.0114429421961005
2019-05-21,-0.01879400656590809
2019-05-22,-0.0019158868614768492
2019-05-23,-0.023551576476515512
2019-05-24,-0.015603959866067699
2019-05-27,-0.007168066595865626
2019-05-28,-0.009900220932074766
2019-05-29,-0.027400469962154544
2019-05-30,-0.03397887420261366
2019-05-31,-0.032897658828018726
2019-06-03,-0.005718553494093929
2019-06-04,-0.0003343486967769538
2019-06-05,-0.005007840539569153
2019-06-06,0.01832995498057932
2019-06-07,0.0005365237867692348
2019-06-10,0.008041699137937841
2019-06-11,-0.0044730234757146175
2019-06-12,-0.0004840849863238332
2019-06-13,0.002173379510742405
2019-06-14,0.002799536493642433
2019-06-17,0.006344028617749557
2019-06-18,0.010167848577341099
2019-06-19,0.01650624597302704
2019-06-20,0.007226224375816437
2019-06-21,0.02203395225088071
2019-06-24,0.012765825349512575
2019-06-25,0.003087847937154405
2019-06-26,0.02239606899370698
2019-06-27,0.034391058917628836
2019-06-28,0.0314599171001162
2019-07-01,0.011515484327192885
2019-07-02,0.011613787383972562
2019-07-03,0.0011652569087812574
2019-07-04,-0.0036901090551532865
2019-07-05,-0.0036819241364696165
2019-07-08,-0.00771638768617211
2019-07-09,0.014616166102542868
2019-07-10,0.005427014450442432
2019-07-11,0.02811932756828032
2019-07-12,0.026737491994633267
2019-07-15,0.0227689230032793
2019-07-16,0.008416492653199992
2019-07-17,0.014919158673984004
2019-07-18,0.012116400612753505
2019-07-19,-0.00394333029574756
2019-07-22,0.013870526291289043
2019-07-23,-0.0008475917508753428
2019-07-24,0.000776719525473942
2019-07-25,-0.0063943491385678826
2019-07-26,-0.006177092672556395
2019-07-29,-0.03768100315369297
2019-07-30,0.03811378166663245
2019-07-31,0.033057484459461474
2019-08-01,0.03907340603447085
2019-08-02,0.028677348044681732
2019-08-05,0.0555435808391019
2019-08-06,0.03439904240173967
2019-08-07,0.030647175362076878
2019-08-08,0.03688022797957954
2019-08-09,0.03318941093500305
2019-08-12,0.015494727849712916
2019-08-13,0.006256752016378282
2019-08-14,0.0014840751595169472
2019-08-15,-0.013766497006903614
2019-08-16,0.008001553388875574
2019-08-19,0.005856037629761168
2019-08-20,0.006833142101599761
2019-08-21,0.012345364274287599
2019-08-22,0.014448649754500812
2019-08-23,0.014448649754500812
2019-08-26,0.007904590972070746
2019-08-27,-0.017347506566220045
2019-08-28,-0.007547688867817389
2019-08-29,-0.011151762572401433
2019-08-30,-0.015816676007223363
2019-09-03,-0.01587179836821891
2019-09-04,0.008256426175178522
2019-09-05,0.007573251166224981
2019-09-06,0.02051213823987219
2019-09-09,0.015779408496414644
