,Index
2018-01-02,STB-GAS-CTG
2018-01-03,GAS-STB-MSN
2018-01-04,GAS-SBT-STB
2018-01-05,MSN-GAS-STB
2018-01-08,MSN-GAS-STB
2018-01-09,MSN-STB-HSG
2018-01-10,MSN-HSG-SBT
2018-01-11,PVD-MSN-SBT
2018-01-12,HPG-MSN-VCB
2018-01-15,VCB-MSN-HSG
2018-01-16,VCB-HSG-MSN
2018-01-17,VCB-HSG-PVD
2018-01-18,VCB-HSG-PVD
2018-01-19,VCB-HSG-PVD
2018-01-22,VCB-HSG-HPG
2018-01-25,VCB-HSG-PVD
2018-01-26,HSG-VCB-MSN
2018-01-29,HSG-VCB-GAS
2018-01-30,HSG-VCB-MSN
2018-01-31,HSG-VCB-MSN
2018-02-01,HSG-MSN-VCB
2018-02-02,HSG-MSN-VCB
2018-02-05,HSG-PVD-MSN
2018-02-06,HSG-MSN-VCB
2018-02-07,HSG-MSN-MWG
2018-02-08,HSG-MSN-MWG
2018-02-09,HSG-MSN-MWG
2018-02-12,HSG-MWG-MSN
2018-02-13,MWG-HSG-MSN
2018-02-21,MSN-MWG-HSG
2018-02-22,MWG-MSN-PVD
2018-02-23,MSN-MWG-PVD
2018-02-26,MSN-BMP-MWG
2018-02-27,MSN-BVH-NT2
2018-02-28,MSN-BVH-NT2
2018-03-01,MSN-CTD-BMP
2018-03-02,CTD-MSN-BVH
2018-03-05,MSN-BMP-BVH
2018-03-06,DHG-BMP-BVH
2018-03-07,DHG-CTD-BVH
2018-03-08,CTD-DHG-BVH
2018-03-09,CTD-DHG-NT2
2018-03-12,DHG-CTD-NT2
2018-03-13,DHG-CTD-KBC
2018-03-14,DHG-CTD-NT2
2018-03-15,CTD-DHG-NT2
2018-03-16,CTD-DHG-NT2
2018-03-19,KBC-DHG-CTD
2018-03-20,KBC-CTD-DHG
2018-03-21,KBC-CTD-NT2
2018-03-22,CTD-KBC-NT2
2018-03-23,CTD-CII-KBC
2018-03-26,STB-CTD-CII
2018-03-27,STB-CTD-CII
2018-03-28,STB-CTD-CII
2018-03-29,STB-CII-CTD
2018-03-30,STB-CII-CTD
2018-04-02,STB-MWG-CTD
2018-04-03,STB-MWG-CTD
2018-04-04,MWG-STB-CTD
2018-04-05,MWG-STB-CTD
2018-04-06,MWG-STB-DPM
2018-04-09,STB-MWG-DPM
2018-04-10,DPM-STB-MWG
2018-04-11,DPM-STB-MWG
2018-04-12,DPM-MWG-STB
2018-04-13,DPM-STB-MWG
2018-04-16,DPM-SSI-VNM
2018-04-17,DPM-SSI-VNM
2018-04-18,DPM-VNM-STB
2018-04-19,DPM-VNM-STB
2018-04-20,DPM-VNM-SSI
2018-04-23,DPM-SSI-VNM
2018-04-24,SSI-DPM-VNM
2018-04-26,DPM-SSI-VNM
2018-04-27,DPM-SSI-VNM
2018-05-02,DPM-VNM-CTG
2018-05-03,DPM-SSI-VNM
2018-05-04,DPM-BMP-VNM
2018-05-07,DPM-BMP-GMD
2018-05-08,DPM-BMP-VNM
2018-05-09,DPM-GMD-VNM
2018-05-10,DPM-BMP-VNM
2018-05-11,BMP-DPM-VNM
2018-05-14,BMP-DPM-GMD
2018-05-15,BMP-DPM-VNM
2018-05-16,DPM-BMP-GMD
2018-05-17,DPM-BMP-VNM
2018-05-18,BMP-DPM-GMD
2018-05-21,GMD-BMP-DPM
2018-05-22,BMP-DPM-GMD
2018-05-23,GMD-DPM-BMP
