,Index
2018-05-24,DPM-BMP-GMD
2018-05-25,DPM-PVD-BMP
2018-05-28,DPM-PVD-GMD
2018-05-29,DPM-PVD-BMP
2018-05-30,DPM-PVD-BMP
2018-05-31,DPM-PVD-GMD
2018-06-01,PVD-DPM-GMD
2018-06-04,PVD-DPM-GMD
2018-06-05,PVD-DPM-GMD
2018-06-06,PVD-DPM-GMD
2018-06-07,PVD-GMD-DPM
2018-06-08,PVD-DPM-GMD
2018-06-11,PVD-DPM-GMD
2018-06-12,PVD-DPM-GMD
2018-06-13,PVD-DPM-GMD
2018-06-14,PVD-DPM-GMD
2018-06-15,PVD-DPM-GMD
2018-06-18,PVD-DPM-KBC
2018-06-19,PVD-DPM-KBC
2018-06-20,PVD-DPM-HSG
2018-06-21,PVD-HSG-DPM
2018-06-22,PVD-HSG-DPM
2018-06-25,PVD-HSG-BMP
2018-06-26,PVD-HSG-BMP
2018-06-27,PVD-HSG-BMP
2018-06-28,PVD-HSG-KBC
2018-06-29,PVD-HSG-BMP
2018-07-02,PVD-HSG-KBC
2018-07-03,KBC-PVD-HSG
2018-07-04,KBC-PVD-HSG
2018-07-05,KBC-BMP-NT2
2018-07-06,KBC-BMP-CTD
2018-07-09,KBC-CTD-NT2
2018-07-10,CTD-KBC-BMP
2018-07-11,CTD-BMP-KBC
2018-07-12,CTD-KBC-BMP
2018-07-13,CTD-KBC-BMP
2018-07-16,CTD-MWG-KDC
2018-07-17,CTD-BMP-MWG
2018-07-18,CTD-BMP-MWG
2018-07-19,CTD-BMP-KBC
2018-07-20,CTD-BMP-MWG
2018-07-23,CTD-MWG-BMP
2018-07-24,CTD-BMP-MWG
2018-07-25,CTD-BMP-NT2
2018-07-26,CTD-REE-NT2
2018-07-27,CTD-KDC-REE
2018-07-30,CTD-DHG-REE
2018-07-31,CTD-DHG-NT2
2018-08-01,CTD-NT2-DHG
2018-08-02,CTD-NT2-DHG
2018-08-03,CTD-DHG-SSI
2018-08-06,CTD-DHG-NT2
2018-08-07,CTD-DHG-SSI
2018-08-08,CTD-DHG-SSI
2018-08-09,CTD-DHG-NT2
2018-08-10,CTD-DHG-SSI
2018-08-13,CTD-SSI-NT2
2018-08-14,CTD-BMP-NT2
2018-08-15,CTD-BMP-SSI
2018-08-16,CTD-NT2-SSI
2018-08-17,BMP-CTD-NT2
2018-08-20,BMP-KDC-NT2
2018-08-21,KDC-BMP-NT2
2018-08-22,KDC-BMP-NT2
2018-08-23,KDC-BMP-NT2
2018-08-24,KDC-HSG-NT2
2018-08-27,KDC-HSG-NT2
2018-08-28,KDC-HSG-GMD
2018-08-29,KDC-HSG-KBC
2018-08-30,KDC-HSG-PVD
2018-08-31,KDC-HSG-GMD
2018-09-04,KDC-HSG-GMD
2018-09-05,KDC-HSG-KBC
2018-09-06,KDC-KBC-PVD
2018-09-07,KDC-PVD-KBC
2018-09-10,GMD-KBC-KDC
2018-09-11,GMD-KBC-PVD
2018-09-12,GMD-KBC-PVD
2018-09-13,CII-KBC-PVD
2018-09-14,GMD-KBC-CII
2018-09-17,GMD-CII-KBC
2018-09-18,CII-KBC-GMD
2018-09-19,CII-KBC-GMD
2018-09-20,CII-KBC-PVD
2018-09-21,CII-GMD-KBC
2018-09-24,CII-GMD-KBC
2018-09-25,CII-GMD-KBC
2018-09-26,CII-GMD-KBC
2018-09-27,CII-GMD-KBC
2018-09-28,CII-GMD-KBC
2018-10-01,CII-GMD-KBC
2018-10-02,CII-GMD-KBC
2018-10-03,CII-GMD-KBC
2018-10-04,CII-GMD-SSI
2018-10-05,CII-GMD-KBC
2018-10-08,CII-GMD-DHG
2018-10-09,GMD-CII-STB
2018-10-10,CII-GMD-SSI
2018-10-11,CII-GMD-STB
2018-10-12,CII-GMD-STB
2018-10-15,STB-CII-REE
2018-10-16,GMD-BMP-CII
2018-10-17,CII-BMP-REE
2018-10-18,REE-GMD-CII
2018-10-19,REE-STB-BMP
2018-10-22,REE-BMP-STB
2018-10-23,REE-BMP-SSI
2018-10-24,REE-BMP-SSI
2018-10-25,REE-BMP-SSI
2018-10-26,REE-BMP-SSI
2018-10-29,REE-BMP-SSI
2018-10-30,BMP-REE-GMD
2018-10-31,BMP-REE-KBC
2018-11-01,BMP-REE-GMD
2018-11-02,BMP-REE-MSN
2018-11-05,BMP-REE-MSN
2018-11-06,BMP-GMD-REE
2018-11-07,BMP-MSN-REE
2018-11-08,BMP-MSN-REE
2018-11-09,BMP-MSN-CTD
2018-11-12,BMP-MSN-CTD
2018-11-13,MSN-CTD-REE
2018-11-14,MSN-CTD-REE
2018-11-15,BMP-REE-CTD
2018-11-16,BMP-REE-STB
2018-11-19,REE-STB-CTD
2018-11-20,STB-REE-VIC
2018-11-21,REE-STB-VIC
2018-11-22,REE-VIC-NT2
2018-11-23,STB-NT2-VIC
2018-11-26,STB-VNM-NT2
2018-11-27,VNM-STB-SSI
2018-11-28,STB-VNM-CTG
2018-11-29,STB-NT2-VNM
2018-11-30,STB-GMD-NT2
2018-12-03,NT2-STB-VNM
2018-12-04,VNM-STB-VIC
2018-12-05,CTG-STB-DPM
2018-12-06,DPM-STB-CTG
2018-12-07,DPM-GMD-STB
2018-12-10,DPM-CTG-STB
2018-12-11,GMD-DPM-CTG
2018-12-12,CTG-GMD-DPM
2018-12-13,DPM-CTG-GMD
2018-12-14,DPM-GMD-SBT
