,Index
2017-01-03,ITA-REE-CTG
2017-01-04,ITA-REE-CTG
2017-01-05,ITA-CTG-REE
2017-01-06,ITA-CTG-REE
2017-01-09,CTG-HPG-REE
2017-01-10,CTG-STB-HPG
2017-01-11,CTG-HPG-STB
2017-01-12,CTG-HPG-STB
2017-01-13,CTG-STB-HPG
2017-01-16,CTG-DPM-HPG
2017-01-17,CTG-STB-HPG
2017-01-18,CTG-HPG-STB
2017-01-19,CTG-STB-HPG
2017-01-20,CTG-BVH-STB
2017-01-23,CTG-BVH-STB
2017-01-24,CTG-BVH-STB
2017-01-25,CTG-BVH-STB
2017-02-02,CTG-BVH-SSI
2017-02-03,CTG-BVH-SSI
2017-02-06,CTG-SSI-BVH
2017-02-07,CTG-SSI-BVH
2017-02-08,CTG-SSI-BVH
2017-02-09,CTG-SSI-BVH
2017-02-10,CTG-SSI-BVH
2017-02-13,CTG-SSI-BVH
2017-02-14,CTG-SSI-BVH
2017-02-15,CTG-SSI-BVH
2017-02-16,CTG-SSI-BVH
2017-02-17,CTG-SSI-BVH
2017-02-20,SSI-CTG-BVH
2017-02-21,SSI-KDC-CTG
2017-02-22,SSI-KDC-BVH
2017-02-23,SSI-KDC-CTG
2017-02-24,SSI-KDC-BVH
2017-02-27,KDC-SSI-STB
2017-02-28,SSI-KDC-STB
2017-03-01,SSI-KDC-STB
2017-03-02,SSI-KDC-STB
2017-03-03,SSI-KDC-HAG
2017-03-06,HAG-SSI-KDC
2017-03-07,HAG-SSI-KDC
2017-03-08,SSI-KDC-STB
2017-03-09,SSI-KDC-STB
2017-03-10,HAG-SSI-KDC
2017-03-13,HAG-SSI-STB
2017-03-14,HAG-SSI-KDC
2017-03-15,SSI-HAG-KDC
2017-03-16,SSI-SBT-HAG
2017-03-17,HAG-SBT-KDC
2017-03-20,HAG-SBT-SSI
2017-03-21,HAG-SBT-SSI
2017-03-22,SBT-HAG-SSI
2017-03-23,SBT-SSI-HAG
2017-03-24,SBT-HAG-ITA
2017-03-27,SBT-HAG-ITA
2017-03-28,SBT-HAG-ITA
2017-03-29,SBT-HAG-ITA
2017-03-30,SBT-ITA-HAG
2017-03-31,ITA-SBT-HAG
2017-04-03,SBT-CII-ITA
2017-04-04,ITA-SBT-HAG
2017-04-05,ITA-SBT-HAG
2017-04-07,ITA-SBT-HAG
2017-04-10,ITA-SBT-HAG
2017-04-11,ITA-SBT-HAG
2017-04-12,ITA-HAG-SBT
2017-04-13,ITA-HAG-SBT
2017-04-14,ITA-SBT-GMD
2017-04-17,ITA-HAG-SBT
2017-04-18,ITA-SBT-GMD
2017-04-19,ITA-GMD-SBT
2017-04-20,ITA-GMD-HAG
2017-04-21,ITA-GMD-SBT
2017-04-24,ITA-GMD-FLC
2017-04-25,ITA-GMD-FLC
2017-04-26,ITA-GMD-FLC
2017-04-27,ITA-GMD-KBC
2017-04-28,GMD-CTG-VCB
2017-05-03,GMD-FLC-CTG
2017-05-04,ITA-GMD-CTG
2017-05-05,ITA-GMD-CTG
2017-05-08,CTG-VCB-KBC
2017-05-09,CTG-VCB-MBB
2017-05-10,CTG-MBB-VCB
2017-05-11,CTG-MBB-GMD
2017-05-12,MBB-CTG-VCB
2017-05-15,MBB-CTG-VCB
2017-05-16,MBB-CTG-VCB
2017-05-17,MBB-CTG-VIC
2017-05-18,MBB-CTG-VIC
