,Long
2017-01-03,0.050897654359776334
2017-01-04,0.04651490029365357
2017-01-05,0.024130440600088992
2017-01-06,0.025820869518691076
2017-01-09,0.02889353258568028
2017-01-10,0.06540284628018549
2017-01-11,0.06106031998346062
2017-01-12,0.06576895838989787
2017-01-13,0.0781286991132275
2017-01-16,0.05576249202149697
2017-01-17,0.05280312774599002
2017-01-18,0.05443728501021875
2017-01-19,0.05368528332062642
2017-01-20,0.05034808049838927
2017-01-23,0.039054631051668544
2017-01-24,0.021750300892054764
2017-01-25,0.0194922732201475
2017-02-02,0.01953003046381892
2017-02-03,0.014967738514936269
2017-02-06,0.010698576420976083
2017-02-07,0.001976267512611707
2017-02-08,0.005784413036980962
2017-02-09,-0.0021566403019744516
2017-02-10,-0.0209519017788673
2017-02-13,-0.02787178453321959
2017-02-14,-0.02408683512884713
2017-02-15,-0.050186683501381925
2017-02-16,-0.05489678211417478
2017-02-17,-0.0346457752810827
2017-02-20,-0.02269837302540752
2017-02-21,-0.017565659696119673
2017-02-22,-0.053961029885321664
2017-02-23,-0.01754803856094389
2017-02-24,-0.007290948620258068
2017-02-27,0.001160847128200082
2017-02-28,0.00799890094026893
2017-03-01,0.0029187300500235582
2017-03-02,0.029332520449502703
2017-03-03,0.07923145335470878
2017-03-06,0.08908083028205849
2017-03-07,0.10619044316932413
2017-03-08,0.057629212640986825
2017-03-09,0.0958000710584938
2017-03-10,0.12642696123243521
2017-03-13,0.1274051906849499
2017-03-14,0.12718182232909178
2017-03-15,0.11313355949472308
2017-03-16,0.040750791362133366
2017-03-17,0.05227143217761032
2017-03-20,0.028416803615922397
2017-03-21,0.036885991712020116
2017-03-22,0.014119518773447415
2017-03-23,-0.01197168405759863
2017-03-24,-0.07073129733588968
2017-03-27,-0.10207056921704612
2017-03-28,-0.12988234217762396
2017-03-29,-0.1103501079775157
2017-03-30,-0.10611047024516107
2017-03-31,-0.1047381205838847
2017-04-03,-0.08801290999536844
2017-04-04,-0.11493829579612762
2017-04-05,-0.09247174224258026
2017-04-07,-0.0721666114777737
2017-04-10,-0.05523598547425368
2017-04-11,-0.03476654265635082
2017-04-12,0.028037705322640938
2017-04-13,0.0406035587756118
2017-04-14,0.06831201841897172
2017-04-17,0.08543857704787634
2017-04-18,0.08322728199978457
2017-04-19,0.049942983013148846
2017-04-20,0.0692161417060088
2017-04-21,0.07551885180176636
2017-04-24,0.05480449241869626
2017-04-25,0.04241508785061273
2017-04-26,0.053478960327244675
2017-04-27,0.11284933791766834
2017-04-28,0.0573623422940975
2017-05-03,0.03809466332027663
2017-05-04,0.051499342798680736
2017-05-05,0.08153524074494152
2017-05-08,0.08107689371655291
2017-05-09,0.039806924768038675
2017-05-10,0.06385337392916861
2017-05-11,0.12536434579782604
2017-05-12,0.07094986692720699
2017-05-15,0.08217105974865475
2017-05-16,0.07341804366740294
2017-05-17,0.05756499384168264
2017-05-18,0.04376321015482524
2017-05-19,0.02854903886990534
2017-05-22,0.0018015031633345318
2017-05-23,0.04562831189769153
2017-05-24,0.0325097143121524
2017-05-25,0.02550599733800189
